date,state,pred,voteshare
2020-10-26,michigan,0.965475,0.5394740822249999
2020-10-26,minnesota,0.9737,0.5429250421
2020-10-26,missouri,0.031675,0.45761479972499997
2020-10-26,mississippi,0.01715,0.44662811259999996
2020-10-26,montana,0.015275,0.451460028425
2020-10-26,north carolina,0.736275,0.5141340309
2020-10-26,north dakota,0.0,0.375442336175
2020-10-26,nebraska,0.0005,0.41515799255
2020-10-26,new hampshire,0.96245,0.540826964475
2020-10-26,new jersey,0.99985,0.59617464215
2020-10-26,new mexico,0.99645,0.5656409330250001
2020-10-26,nevada,0.912125,0.532084544875
2020-10-26,new york,1.0,0.6419867313000001
2020-10-26,ohio,0.382175,0.49332196772500003
2020-10-26,oklahoma,0.0,0.36925094145000004
2020-10-26,oregon,0.99985,0.5901214967499999
2020-10-26,pennsylvania,0.92155,0.5308897364
2020-10-26,rhode island,1.0,0.615394961575
2020-10-26,south carolina,0.042675,0.460718902875
2020-10-26,south dakota,0.00015,0.41044014409999996
2020-10-26,tennessee,0.00045,0.4178540418
2020-10-26,texas,0.2976,0.48769804015
2020-10-26,utah,2.5e-05,0.40512394095
2020-10-26,virginia,0.992425,0.5562563327000001
2020-10-26,vermont,1.0,0.67580505
2020-10-26,washington,1.0,0.617035701675
2020-10-26,wisconsin,0.9517,0.536424852875
2020-10-26,west virginia,0.0,0.35650424524999996
2020-10-26,wyoming,0.0,0.303141310825
2020-10-25,alaska,0.10466666666666667,0.4697575943333333
2020-10-25,alabama,0.0,0.41110398566666667
2020-10-25,arkansas,0.0003333333333333333,0.41032659466666666
2020-10-25,arizona,0.7093333333333334,0.5126283583333333
2020-10-25,california,1.0,0.6725041540000001
2020-10-25,colorado,0.9913333333333332,0.557757531
2020-10-25,connecticut,1.0,0.606967585
2020-10-25,District of Columbia,1.0,0.9533036233333332
2020-10-25,delaware,1.0,0.6058621773333334
2020-10-25,florida,0.7826666666666666,0.5178997453333334
2020-10-25,georgia,0.521,0.501185419
2020-10-25,hawaii,1.0,0.6865275853333334
2020-10-25,iowa,0.48,0.4989544593333333
2020-10-25,idaho,0.0,0.37288168200000005
2020-10-25,illinois,1.0,0.590824544
2020-10-25,indiana,0.0016666666666666668,0.43228846066666665
2020-10-25,kansas,0.005,0.44348978433333336
2020-10-25,kentucky,0.0,0.39939140466666667
2020-10-25,louisiana,0.011333333333333334,0.44345521233333335
2020-10-25,massachusetts,1.0,0.6688922373333334
2020-10-25,maryland,1.0,0.6637175493333334
2020-10-25,maine,0.9953333333333332,0.5638132713333334
2020-10-25,michigan,0.963,0.5397513526666666
2020-10-25,minnesota,0.9753333333333334,0.5435392916666667
2020-10-25,missouri,0.035,0.458636736
2020-10-25,mississippi,0.015666666666666666,0.4470193316666667
2020-10-25,montana,0.016666666666666666,0.45214286299999995
2020-10-25,north carolina,0.7573333333333333,0.5153414403333333
2020-10-25,north dakota,0.0,0.37546526700000005
2020-10-25,nebraska,0.0,0.4157484683333333
2020-10-25,new hampshire,0.9590000000000001,0.541585225
2020-10-25,new jersey,1.0,0.596977322
2020-10-25,new mexico,0.9966666666666668,0.567031844
2020-10-25,nevada,0.9143333333333332,0.5320248966666666
2020-10-25,new york,1.0,0.6431283263333333
2020-10-25,ohio,0.38666666666666666,0.4937858626666667
2020-10-25,oklahoma,0.0,0.3704794906666667
2020-10-25,oregon,1.0,0.5906265270000001
2020-10-25,pennsylvania,0.9233333333333332,0.531375414
2020-10-25,rhode island,1.0,0.6155335656666666
2020-10-25,south carolina,0.052000000000000005,0.461871871
2020-10-25,south dakota,0.0,0.4113947073333333
2020-10-25,tennessee,0.0003333333333333333,0.4189808953333333
2020-10-25,texas,0.31966666666666665,0.4888693473333333
2020-10-25,utah,0.0,0.4055531336666667
2020-10-25,virginia,0.9926666666666668,0.5574542323333334
2020-10-25,vermont,1.0,0.6763667856666666
2020-10-25,washington,1.0,0.6173039043333334
2020-10-25,wisconsin,0.9546666666666668,0.5370085643333333
2020-10-25,west virginia,0.0,0.3576982863333333
2020-10-25,wyoming,0.0,0.3046908513333333
2020-10-18,alaska,0.069725,0.46170811155
2020-10-18,alabama,0.00015,0.40630298902500006
2020-10-18,arkansas,7.5e-05,0.40112740287500004
2020-10-18,arizona,0.67145,0.5107279715999999
2020-10-18,california,1.0,0.6777199639749999
2020-10-18,colorado,0.982525,0.5526461793249999
2020-10-18,connecticut,0.999925,0.6053644008
2020-10-18,District of Columbia,1.0,0.9543133002249999
2020-10-18,delaware,0.99995,0.6028513679999999
2020-10-18,florida,0.754275,0.516626224775
2020-10-18,georgia,0.4539,0.497106250675
2020-10-18,hawaii,1.0,0.6892496365
2020-10-18,iowa,0.33825,0.49004949255
2020-10-18,idaho,0.0,0.36421711770000004
2020-10-18,illinois,0.9991,0.589059623825
2020-10-18,indiana,0.001075,0.424069625
2020-10-18,kansas,0.006225,0.437332424
2020-10-18,kentucky,0.0,0.39034595435
2020-10-18,louisiana,0.003325,0.432501820725
2020-10-18,massachusetts,1.0,0.667361217425
2020-10-18,maryland,1.0,0.662452262975
2020-10-18,maine,0.99195,0.558290218925
2020-10-18,michigan,0.91025,0.5316460035
